	44
0	38
00	12
000	16
00035	1
001	2
002	2
0031	1
005	1
0078790	1
01	14
01046	1
011447	1
0128239	1
013	1
01618	1
017	1
019	1
02	17
0200080	1
0201	1
0203328	1
02070	1
02480	1
025	1
026	2
026831	1
026980	1
027	1
027010	1
027435	1
027688	1
028	1
03	13
030305c	1
030305ch3	1
030305wyl	1
0303cric	1
0355421	1
03574	1
03v	1
04	18
042	1
0439	1
04712	1
0472987	1
049346	1
05	17
057720	1
06	14
060	1
060333p1	1
060805	1
061	1
06382	1
0640245	1
067	1
069	1
06991	1
07	12
0706	1
073	1
074	1
07494469200640141	1
075	1
076	1
0762756957	1
08	8
0808	1
083	1
085	1
0866	1
087	1
09	18
090	1
094	1
0964663909103623	1
097	1
0972	1
0979528	1
0994	1
1	42
10	35
100	23
1000	4
100323e	1
100506e	1
100579	1
1007	1
10085	1
10086287	1
10093	1
10097	1
100_162	1
100px	1
100spec5	1
101	2
1010	1
1013	1
1014	1
1015	1
1016	3
1019	1
101st	1
10230	1
10237	1
1023790	1
1024	1
1028	1
103	6
1030	1
1031	2
10347	1
1035	1
10376	1
1037c	1
1038	1
103rd	1
104	3
1040	1
1042	1
1044	1
1046	1
1047	2
1048	1
10480	1
105	3
1050	1
1052	1
10531	1
106	4
1062	1
1065	1
1065708	1
1066	2
1067	1
1068	1
1069	1
107	4
1073	1
1076	1
108	5
1080	1
1082	1
10851	1
10853	1
1088	1
1089	1
109	6
1090	1
1093	2
1094	1
1099	1
10nlock	1
11	33
110	3
1101	1
1102	1
11029	1
1103	1
110425_4e	1
110425e	1
111	3
11138	1
1115	1
1116	1
11180244	1
111823	1
1123	1
1125	1
1128	1
113	3
1130	1
1131	1
1132	1
1133	1
1134	1
1135	1
1136	1
1139	1
1142	1
1145	1
1146	1
1147	1
115	1
1155	1
1156	1
11562	1
1157	1
11579	1
1159162	1
116	3
1161	1
1162	1
1163	1
1167	1
11670	1
11686	1
117	5
1170	2
11704	1
1177	1
1178	1
1182	1
118287	1
1184	1
1185	1
11865	1
11871	1
1189	1
11894	1
119	1
1190	1
11910	1
1192	1
1195	1
1199	1
11b	1
11c	1
12	30
120	3
1200	1
1202	1
1204	1
12042	1
12043	1
121	4
12101	1
12111	1
12112	1
12117	1
12131	1
12162	1
12165	1
1217	1
12181	1
12182	1
12187	1
12189	1
122	4
12201	1
12213	1
1224	1
1225	1
1226	1
1227	1
123	3
1230	1
1232	1
12344	1
1235	1
1238	1
124	2
1240	2
1241	1
1243	1
1244	1
1245	1
1246	1
1246c	1
1247	1
1248	1
125	1
1250	2
12503	1
1251	2
1252	1
1253	1
1254	1
1255	1
1257	1
126	5
1261	1
1263	1
1268	1
127	4
1270	1
1273	1
1279	1
128	4
1280	1
1281	1
1282	1
129	1
1293	1
1294	1
1295	1
1299	1
13	28
130	2
1307	1
131	3
131381	1
1316	1
1318	1
1319	1
132	3
1329	1
13313	1
1335	1
1340	1
1343	1
13462	1
1349261	1
135	3
1353	1
1358288	1
13589	1
136	1
1363	1
1367	1
137	2
1370	1
1373791	1
1374	1
138	1
1380	1
1381	1
13850	1
1387	1
1389	1
139	3
14	29
140	4
1400	1
140323	1
1406	1
1409	1
14094	1
141	3
1410	1
1412	1
1413	1
1416	1
1418	1
142	1
1422	1
1426	1
1429	2
143	1
1438	1
144	1
1442	1
1445	1
1448	1
1449	1
145	2
1450	1
1455	1
1459	1
146	2
1464	1
147	2
1470	1
1471	1
1478	1
14792	1
148	2
1481	2
1483	1
1489	1
149	1
14961012	1
15	29
150	6
1500	1
150060	1
1502	1
1503	1
151	2
1513	1
1515	1
1518	1
152	1
1523	1
1524	1
1525	2
1533	1
1534	1
1537	1
154	1
155	3
1557	1
1559	1
156	3
157	3
1572	1
1573932	1
1574	1
1577	1
158	2
1580	2
1581	1
1588	3
159	2
1597	1
16	29
160	1
1600	2
16002	1
160029	1
1609	1
